Model,Accuracy,Precision (Weighted),Recall (Weighted),F1-Score (Weighted),ROC-AUC (OvR Weighted)
Decision Tree,0.916958041958042,0.917048431190089,0.916958041958042,0.9166680907394571,0.9298975265406629
Logistic Regression,0.8763736263736264,0.881045996685943,0.8763736263736264,0.8752687375868711,0.9338742838767927
Neural Network MLP,0.9174575424575424,0.9174519403957465,0.9174575424575424,0.9172326894245232,0.9433349776641388
Random Forest,0.9244505494505495,0.9247207914294069,0.9244505494505495,0.9241922567137089,0.946732363641673
